Date	Open_DJI	High_DJI	Low_DJI	Close_DJI	Volume_DJI	AdjClose_DJI	Return_DJI
2010-01-04	10430.69043	10604.969727	10430.69043	10583.959961	179780000	10583.959961	
2010-01-05	10584.55957	10584.55957	10522.519531	10572.019531	188540000	10572.019531	-0.00112816280901
2010-01-06	10564.719727	10594.990234	10546.549805	10573.679688	186040000	10573.679688	0.00015703309998
2010-01-07	10571.110352	10612.370117	10505.209961	10606.860352	217390000	10606.860352	0.00313804323368
2010-01-08	10606.400391	10619.400391	10554.330078	10618.19043	172710000	10618.19043	0.00106818395114
2010-01-11	10620.30957	10676.230469	10591.589844	10663.990234	182050000	10663.990234	0.00431333420717
2010-01-12	10662.860352	10663.080078	10568.839844	10627.259766	256050000	10627.259766	-0.00344434561492
2010-01-13	10628.089844	10709.259766	10614.490234	10680.769531	202810000	10680.769531	0.00503514228298
2010-01-14	10680.160156	10723.769531	10666.860352	10710.549805	201320000	10710.549805	0.00278821426804
2010-01-15	10706.990234	10709.94043	10561.05957	10609.650391	362930000	10609.650391	-0.00942056344791
2010-01-19	10608.370117	10729.889648	10591.969727	10725.429688	192150000	10725.429688	0.0109126401656
2010-01-20	10719.69043	10719.919922	10517.299805	10603.150391	203270000	10603.150391	-0.0114008762872
2010-01-21	10603.910156	10614.94043	10374.69043	10389.879883	304290000	10389.879883	-0.020113881265
2010-01-22	10389.580078	10389.580078	10157.639648	10172.980469	323620000	10172.980469	-0.0208760270997
2010-01-25	10175.099609	10256.870117	10171.769531	10196.860352	215330000	10196.860352	0.00234738315607
2010-01-26	10195.349609	10285.129883	10155.599609	10194.290039	217300000	10194.290039	-0.000252069059619
2010-01-27	10194.290039	10255.05957	10104.360352	10236.160156	262170000	10236.160156	0.00410721264942
2010-01-28	10236.919922	10258.830078	10055.080078	10120.459961	240050000	10120.459961	-0.0113030856529
2010-01-29	10122.040039	10239.339844	10043.75	10067.330078	316900000	10067.330078	-0.00524974983397
2010-02-01	10068.990234	10190.889648	10068.910156	10185.530273	198430000	10185.530273	0.0117409674744
2010-02-02	10186.129883	10314.839844	10173.589844	10296.849609	237140000	10296.849609	0.0109291645124
2010-02-03	10291.730469	10307.200195	10231.929688	10270.549805	198940000	10270.549805	-0.00255416025276
2010-02-04	10273.120117	10273.120117	9998.030273	10002.179688	304240000	10002.179688	-0.0261300633457
2010-02-05	10003.69043	10031.959961	9835.089844	10012.230469	308320000	10012.230469	0.00100485907207
2010-02-08	10005.429688	10028.55957	9904.089844	9908.389648	216270000	9908.389648	-0.0103713973946
2010-02-09	9910.280273	10139.429688	9910.05957	10058.639648	236210000	10058.639648	0.015163917179
2010-02-10	10055.459961	10085.540039	9962.959961	10038.379883	178600000	10038.379883	-0.00201416550438
2010-02-11	10037.849609	10161.570312	9976.709961	10144.19043	194470000	10144.19043	0.0105406000005
2010-02-12	10137.230469	10137.389648	9983.820312	10099.139648	296510000	10099.139648	-0.00444104261556
2010-02-16	10100.80957	10279.540039	10100.80957	10268.80957	234900000	10268.80957	0.0168004332957
2010-02-17	10261.480469	10320.129883	10261.480469	10309.240234	193270000	10309.240234	0.00393722989256
2010-02-18	10309.389648	10406.580078	10294.509766	10392.900391	185310000	10392.900391	0.00811506523285
2010-02-19	10387.769531	10438.549805	10339.169922	10402.349609	241750000	10402.349609	0.000909199323048
2010-02-22	10402.429688	10433.639648	10368.950195	10383.379883	158440000	10383.379883	-0.00182360012046
2010-02-23	10383.160156	10411.120117	10267.830078	10282.410156	190740000	10282.410156	-0.00972416767351
2010-02-24	10284.0	10393.509766	10283.929688	10374.160156	181450000	10374.160156	0.008923005269
2010-02-25	10366.599609	10366.679688	10185.830078	10321.030273	242550000	10321.030273	-0.00512136714694
2010-02-26	10321.410156	10353.450195	10272.290039	10325.259766	282120000	10325.259766	0.000409793682232
2010-03-01	10326.099609	10413.990234	10326.099609	10403.790039	173750000	10403.790039	0.00760564622874
2010-03-02	10404.160156	10456.919922	10389.429688	10405.980469	217180000	10405.980469	0.000210541542245
2010-03-03	10406.280273	10469.540039	10376.580078	10396.759766	183290000	10396.759766	-0.000886096512238
2010-03-04	10396.530273	10452.379883	10390.860352	10444.139648	165740000	10444.139648	0.00455717772329
2010-03-05	10445.129883	10571.94043	10445.049805	10566.200195	184270000	10566.200195	0.0116869891742
2010-03-08	10563.780273	10587.740234	10542.389648	10552.519531	171780000	10552.519531	-0.0012947572209
2010-03-09	10552.240234	10612.599609	10533.929688	10564.379883	219860000	10564.379883	0.00112393556488
2010-03-10	10560.129883	10601.790039	10526.519531	10567.330078	186570000	10567.330078	0.000279258700716
2010-03-11	10560.980469	10611.839844	10507.169922	10611.839844	150000000	10611.839844	0.00421201624928
2010-03-12	10611.769531	10644.950195	10594.839844	10624.69043	166140000	10624.69043	0.00121096682469
2010-03-15	10623.410156	10644.19043	10570.509766	10642.150391	160570000	10642.150391	0.00164333832736
2010-03-16	10642.530273	10693.990234	10621.900391	10685.980469	227410000	10685.980469	0.00411853585879
2010-03-17	10686.360352	10767.980469	10686.360352	10733.669922	194190000	10733.669922	0.00446280555522
