Date	Open_RELIANCE.NS	High_RELIANCE.NS	Low_RELIANCE.NS	Close_RELIANCE.NS	Volume_RELIANCE.NS	AdjClose_RELIANCE.NS	Return_RELIANCE.NS
2010-01-01	1093.35	1093.35	1093.35	1093.35	0	1020.0561	
2010-01-04	1091.1	1091.1	1021.85	1075.5	17520000	1003.4027	-0.016325964817
2010-01-05	1149.9	1149.9	1065.4	1070.7	4890000	998.9244	-0.00446311336416
2010-01-06	1079.9	1094.5	1070.65	1088.0	5415500	1015.0647	0.0161576791997
2010-01-07	1088.0	1115.0	1078.0	1106.05	5988400	1031.9048	0.0165901740057
2010-01-08	1108.0	1113.8	1096.0	1103.15	3453900	1029.1992	-0.00262194729591
2010-01-11	1134.7	1149.7	1050.0	1081.5	43122100	1009.0005	-0.0196256468136
2010-01-12	1095.0	1137.3	1077.0	1084.35	7495300	1011.6594	0.00263518204401
2010-01-13	1088.0	1092.0	1068.6	1088.6	3511000	1015.6245	0.00391940212289
2010-01-14	1086.0	1124.8	1086.0	1121.7	5610700	1046.5056	0.030406021123
2010-01-15	1125.8	1138.9	1105.05	1110.75	4289700	1036.2897	-0.00976191622864
2010-01-18	1107.0	1116.45	1091.95	1099.5	3239500	1025.7938	-0.0101283453845
2010-01-19	1100.0	1106.05	1082.65	1085.0	2986300	1012.2658	-0.0131878356059
2010-01-20	1095.0	1097.1	1072.0	1077.5	4418700	1005.2686	-0.00691241371584
2010-01-21	1075.0	1077.0	1050.25	1054.05	4254200	983.3907	-0.0217632382032
2010-01-22	1041.0	1071.0	1029.5	1053.85	9113500	983.204	-0.000189853330929
2010-01-25	1049.65	1054.4	1036.7	1042.05	3061400	972.1951	-0.0111969642109
2010-01-26	1085.9	1085.9	1085.9	1085.9	0	1013.1055	0.0420804424955
2010-01-27	1034.0	1050.0	1020.0	1027.55	5678800	958.6671	-0.0537341866173
2010-01-28	1040.0	1046.45	1025.0	1037.15	7594300	967.6235	0.00934255488688
2010-01-29	1032.9	1051.8	1018.1	1046.2	5333500	976.0668	0.0087258112272
2010-02-01	1037.5	1055.0	1035.55	1045.4	2773300	975.3205	-0.000764599308162
2010-02-02	1052.0	1056.35	1024.1	1027.3	3942800	958.4339	-0.0173138983544
2010-02-03	1031.1	1048.4	1031.1	1033.95	3440600	964.638	0.00647316419004
2010-02-04	1038.0	1038.0	1014.0	1019.15	2737100	950.8302	-0.0143139706294
2010-02-05	975.0	1007.75	975.0	981.7	6830700	915.8907	-0.0367463086469
2010-02-08	985.0	1004.35	975.0	994.35	5919100	927.6926	0.0128857078689
2010-02-09	993.75	998.0	982.7	993.25	3266900	926.6664	-0.00110618538943
2010-02-10	999.9	999.9	982.0	985.1	4174200	919.0627	-0.00820543401595
2010-02-11	989.25	1019.8	988.5	1015.15	5360200	947.0983	0.0305045564356
2010-02-12	1018.8	1018.8	1018.8	1018.8	0	950.5036	0.00359550851269
2010-02-15	1027.0	1027.0	1007.6	1010.0	3085500	942.2935	-0.00863763167231
2010-02-16	1010.1	1021.0	1005.0	1017.75	2301400	949.524	0.00767329924275
2010-02-17	1025.0	1037.8	1022.05	1032.55	3572700	963.3319	0.0145419178452
2010-02-18	1030.0	1038.35	995.0	997.8	4533700	930.9114	-0.0336545483441
2010-02-19	995.0	995.0	977.15	983.2	4058300	917.2901	-0.0146322195646
2010-02-22	995.3	1000.0	970.0	977.95	2901100	912.3921	-0.00533964118876
2010-02-23	974.0	983.0	970.0	975.35	2966300	909.9663	-0.00265872534407
2010-02-24	970.0	985.7	966.65	978.8	2854400	913.1851	0.00353727385289
2010-02-25	980.1	985.0	959.15	963.1	4332500	898.5375	-0.0160401215482
2010-02-26	969.0	995.0	966.25	978.95	5161200	913.325	0.0164572986659
2010-03-01	979.3	979.3	979.3	979.3	0	913.6515	0.000357485013549
2010-03-02	985.0	999.0	979.4	983.2	4162600	917.2901	0.00398248128526
2010-03-03	988.0	1028.0	988.0	1024.8	6085700	956.1015	0.0423109330407
2010-03-04	1040.0	1040.0	1008.0	1014.0	4750200	946.0254	-0.0105387346427
2010-03-05	1022.0	1026.0	1005.1	1009.8	2691400	942.1069	-0.00414206637581
2010-03-08	1021.2	1027.0	1002.0	1004.1	2729500	936.789	-0.00564468851677
2010-03-09	1006.5	1011.8	988.05	990.35	3990900	923.9608	-0.0136937987103
2010-03-10	995.0	1018.9	989.3	1008.75	5670500	941.1273	0.0185792514141
2010-03-11	1010.0	1020.0	1007.0	1016.45	3333600	948.3112	0.00763329254183
