Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS
2010-01-01	617.0	617.0	617.0	617.0	0	533.7018	
2010-01-04	622.0	636.5	616.9	633.75	5569700	548.1904	0.0271473695611
2010-01-05	638.55	654.8	638.55	649.1	7801900	561.4681	0.024220964103
2010-01-06	660.0	660.0	637.0	642.05	7350400	555.3699	-0.0108611691385
2010-01-07	644.9	652.8	640.1	649.8	7635700	562.0736	0.0120706937844
2010-01-08	651.0	661.5	640.9	648.45	8199500	560.9059	-0.00207748593778
2010-01-11	650.0	655.9	645.2	648.5	6640700	560.9491	7.70182663439e-05
2010-01-12	641.5	648.75	623.85	625.55	6832300	541.0975	-0.0353893071582
2010-01-13	615.0	641.8	615.0	639.25	10315000	552.9479	0.0219006740929
2010-01-14	644.75	651.2	641.55	647.7	6642400	560.2571	0.0132186052248
2010-01-15	650.0	650.95	640.0	645.15	4292500	558.0514	-0.00393694252157
2010-01-18	642.0	642.0	630.75	637.5	5948900	551.4342	-0.0118576890946
2010-01-19	636.0	645.6	632.0	637.65	5015600	551.5639	0.00023520485309
2010-01-20	638.0	657.4	638.0	653.7	7929000	565.4471	0.0251706103318
2010-01-21	649.5	659.5	642.25	648.0	10916900	560.5166	-0.00871964857544
2010-01-22	641.1	641.1	617.0	624.55	8780300	540.2325	-0.0361882235067
2010-01-25	620.0	625.7	606.9	609.9	5328600	527.5603	-0.0234569375223
2010-01-26	636.25	636.25	636.25	636.25	0	550.3529	0.0432037816341
2010-01-27	599.9	605.7	553.25	559.65	10905200	484.0943	-0.120392933334
2010-01-28	566.0	589.4	565.0	585.4	12582800	506.368	0.0460110767675
2010-01-29	578.0	581.0	551.7	569.1	11590100	492.2685	-0.0278443740521
2010-02-01	560.0	584.8	557.95	579.85	6917200	501.5672	0.0188894881553
2010-02-02	585.0	594.6	570.65	573.3	9193200	495.9015	-0.0112959938369
2010-02-03	578.0	603.6	577.1	600.4	9026400	519.3429	0.0472702744396
