Date	Open_MSFT	High_MSFT	Low_MSFT	Close_MSFT	Volume_MSFT	AdjClose_MSFT	Return_MSFT
2010-01-04	30.620001	31.1	30.59	30.950001	38409100	25.710416	
2010-01-05	30.85	31.1	30.639999	30.959999	49749600	25.718722	0.000323059728011
2010-01-06	30.879999	31.08	30.52	30.77	58182400	25.560888	-0.00613693013206
2010-01-07	30.629999	30.700001	30.190001	30.450001	50559700	25.295062	-0.0103997169425
2010-01-08	30.280001	30.879999	30.24	30.66	51197400	25.46951	0.00689652391443
2010-01-11	30.709999	30.76	30.120001	30.27	68754700	25.145534	-0.0127201504858
2010-01-12	30.15	30.4	29.91	30.07	65912100	24.979392	-0.00660721701118
2010-01-13	30.26	30.52	30.01	30.35	51863500	25.211991	0.0093116357676
2010-01-14	30.309999	31.1	30.26	30.959999	63228100	25.718722	0.0200988093324
2010-01-15	31.08	31.24	30.709999	30.860001	79913200	25.635652	-0.0032299427631
2010-01-19	30.75	31.24	30.68	31.1	46575700	25.835022	0.00777705985399
2010-01-20	30.809999	30.940001	30.309999	30.59	54849500	25.41136	-0.0163987474058
2010-01-21	30.610001	30.719999	30.0	30.01	73086700	24.92955	-0.0189604177029
2010-01-22	30.0	30.200001	28.84	28.959999	102004600	24.057305	-0.0349883973036
2010-01-25	29.24	29.66	29.1	29.32	63373000	24.356361	0.0124309851
2010-01-26	29.200001	29.85	29.09	29.5	66639900	24.505889	0.00613917653791
2010-01-27	29.35	29.82	29.02	29.67	63949500	24.647109	0.00576269646859
2010-01-28	29.84	29.870001	28.889999	29.16	117513700	24.223448	-0.0171890747917
2010-01-29	29.9	29.92	27.66	28.18	193888500	23.409354	-0.0336076845873
2010-02-01	28.389999	28.48	27.92	28.41	85931100	23.600417	0.00816182283373
2010-02-02	28.370001	28.5	28.139999	28.459999	54413700	23.641951	0.00175988415798
2010-02-03	28.26	28.790001	28.120001	28.629999	61397900	23.783172	0.00597332259085
2010-02-04	28.379999	28.5	27.809999	27.84	77850000	23.126913	-0.0275934177325
