Date	Open_N225	High_N225	Low_N225	Close_N225	Volume_N225	AdjClose_N225	Return_N225
2010-01-04	10609.339844	10694.490234	10608.139648	10654.790039	104400	10654.790039	
2010-01-05	10719.44043	10791.040039	10655.570312	10681.830078	166200	10681.830078	0.00253782936135
2010-01-06	10709.549805	10768.610352	10661.169922	10731.450195	181800	10731.450195	0.00464528237555
2010-01-07	10742.75	10774.0	10636.669922	10681.660156	182600	10681.660156	-0.00463963752291
2010-01-08	10743.299805	10816.450195	10677.55957	10798.320312	211800	10798.320312	0.0109215378786
2010-01-12	10770.349609	10905.389648	10763.679688	10879.139648	192800	10879.139648	0.00748443588122
2010-01-13	10795.480469	10866.620117	10729.860352	10735.030273	250000	10735.030273	-0.013246394445
2010-01-14	10778.070312	10909.94043	10774.25	10907.679688	267400	10907.679688	0.0160828065324
2010-01-15	10917.410156	10982.099609	10878.830078	10982.099609	253000	10982.099609	0.00682270869045
2010-01-18	10887.610352	10895.099609	10781.030273	10855.080078	186600	10855.080078	-0.0115660516224
2010-01-19	10866.830078	10866.830078	10749.469727	10764.900391	174600	10764.900391	-0.00830760218736
2010-01-20	10834.910156	10860.929688	10724.570312	10737.519531	146400	10737.519531	-0.00254353119913
2010-01-21	10704.790039	10886.639648	10649.839844	10868.410156	176800	10868.410156	0.0121900243927
2010-01-22	10740.209961	10768.070312	10528.330078	10590.549805	187400	10590.549805	-0.0255658690656
2010-01-25	10478.30957	10557.639648	10414.580078	10512.69043	139800	10512.69043	-0.00735177837162
2010-01-26	10506.150391	10566.490234	10324.980469	10325.280273	175400	10325.280273	-0.0178270403992
2010-01-27	10344.070312	10373.820312	10252.080078	10252.080078	139400	10252.080078	-0.00708941482116
2010-01-28	10309.730469	10462.700195	10296.980469	10414.290039	168000	10414.290039	0.0158221511894
2010-01-29	10308.049805	10324.370117	10198.040039	10198.040039	156800	10198.040039	-0.0207647376048
2010-02-01	10212.360352	10224.830078	10129.910156	10205.019531	162000	10205.019531	0.000684395430231
2010-02-02	10310.980469	10396.480469	10287.740234	10371.089844	142000	10371.089844	0.0162733949206
2010-02-03	10428.120117	10436.519531	10356.030273	10404.330078	154200	10404.330078	0.00320508591672
2010-02-04	10434.519531	10438.410156	10279.570312	10355.980469	164600	10355.980469	-0.00464706604246
2010-02-05	10162.339844	10166.299805	10036.330078	10057.089844	172000	10057.089844	-0.0288616443315
2010-02-08	10007.469727	10063.530273	9942.049805	9951.820312	137400	9951.820312	-0.0104671961405
2010-02-09	9876.610352	9956.790039	9867.389648	9932.900391	135000	9932.900391	-0.00190115179001
2010-02-10	10024.259766	10049.870117	9963.990234	9963.990234	127000	9963.990234	0.00312998638627
2010-02-12	10085.349609	10099.459961	10014.5	10092.19043	136000	10092.19043	0.012866351029
2010-02-15	10097.820312	10119.469727	10012.530273	10013.299805	97400	10013.299805	-0.00781699726607
2010-02-16	10044.530273	10062.269531	10019.429688	10034.25	87000	10034.25	0.00209223686577
2010-02-17	10161.719727	10306.830078	10150.240234	10306.830078	127200	10306.830078	0.0271649677853
2010-02-18	10324.980469	10340.379883	10285.049805	10335.69043	111800	10335.69043	0.0028001191231
2010-02-19	10334.400391	10354.419922	10123.580078	10123.580078	129400	10123.580078	-0.0205221270351
2010-02-22	10302.070312	10449.75	10298.150391	10400.469727	115400	10400.469727	0.0273509615044
2010-02-23	10327.639648	10375.549805	10280.330078	10352.099609	121400	10352.099609	-0.00465076282799
2010-02-24	10205.150391	10243.200195	10129.650391	10198.830078	125200	10198.830078	-0.0148056468532
2010-02-25	10256.099609	10267.429688	10087.209961	10101.959961	128200	10101.959961	-0.00949815971628
2010-02-26	10107.080078	10171.219727	10085.129883	10126.030273	113200	10126.030273	0.00238273682463
2010-03-01	10128.730469	10215.150391	10116.860352	10172.05957	108400	10172.05957	0.00454564086409
2010-03-02	10199.19043	10238.959961	10150.299805	10221.839844	104000	10221.839844	0.00489382446666
2010-03-03	10193.950195	10274.089844	10186.679688	10253.139648	120600	10253.139648	0.00306205188867
2010-03-04	10255.69043	10263.480469	10134.370117	10145.719727	126400	10145.719727	-0.0104767831794
2010-03-05	10254.610352	10376.410156	10254.610352	10368.959961	129800	10368.959961	0.022003390593
2010-03-08	10538.120117	10586.969727	10514.280273	10585.919922	140600	10585.919922	0.0209239848371
2010-03-09	10567.320312	10593.269531	10542.80957	10567.650391	110000	10567.650391	-0.00172583310044
2010-03-10	10555.849609	10588.69043	10547.339844	10563.919922	104800	10563.919922	-0.000353008366285
2010-03-11	10627.990234	10664.950195	10588.860352	10664.950195	123800	10664.950195	0.0095637106061
2010-03-12	10777.490234	10777.490234	10699.299805	10751.259766	206600	10751.259766	0.00809282457226
2010-03-15	10802.110352	10808.839844	10708.969727	10751.980469	130600	10751.980469	6.70342839524e-05
2010-03-16	10718.629883	10776.519531	10716.200195	10721.709961	106600	10721.709961	-0.00281534253966
2010-03-17	10789.240234	10864.299805	10761.889648	10846.980469	137600	10846.980469	0.0116838180156
2010-03-18	10841.709961	10845.730469	10731.660156	10744.030273	130200	10744.030273	-0.00949113869009
2010-03-19	10785.879883	10826.759766	10775.570312	10824.719727	116200	10824.719727	0.00751016629232
2010-03-23	10793.049805	10817.780273	10766.650391	10774.150391	112400	10774.150391	-0.00467165314903
2010-03-24	10829.360352	10880.620117	10769.179688	10815.030273	125400	10815.030273	0.00379425574328
